Hotel ID,Hotel Picture,Hotel Name,Hotel Exname,Country and Destination,Accommodation Type,Hotel Category,Recommendation,Own Rating,Own Texts
17672,,Apartmány Oropesa del Mar,,Španělsko » Španělsko pevnina » Costa del Azahar » Oropesa del Mar,Apartmány,2.0,0,0,0
17680,,Kefalos Beach Village hotel,,Kypr » Jižní Kypr » Paphos,Hotel,3.0,0,0,0
17683,,La Villa,,Itálie » Ischia,Hotel,4.0,0,0,0
17687,https://i.ccdn.cz/acm/35/869316/l0.jpg,Mercé,,Španělsko » Španělsko pevnina » Costa Brava » Pineda de Mar,Hotel,3.0,0,0,0
17699,https://i.ccdn.cz/acm/15/889962/l0.jpg,Terme Park Imperial,,Itálie » Ischia,Hotel,3.0,0,0,0
17701,,Penzion Lampllehen,,Německo » Bavorské Alpy » Berchtesgaden,-,3.0,0,0,0
17710,https://i.ccdn.cz/acm/423/890722/l0.jpg,Hotel Angeli,,Chorvatsko » Severní Dalmácie » Vodice,Hotel,3.0,0,0,0
17714,,American,,Itálie » Adriatická riviéra » Lido di Jesolo,Hotel,3.0,0,0,0
17717,,Villa Slavica,,Chorvatsko » Kvarner » ostrov Pag » Novalja,Vila,3.0,0,0,0
17723,,Palace,,Itálie » Lombardie » Italské Alpy » Val di Sole,Apartmány,3.0,0,0,0
17729,,No name,,Chorvatsko » Střední Dalmácie » Baška Voda,Apartmány,3.0,0,0,0
17736,,Apartmány Biloba,,Itálie » Adriatická riviéra » Bibione,Apartmány,3.0,0,0,0
17737,,No name,,Chorvatsko » Severní Dalmácie » Biograd,Apartmány,3.0,0,0,0
17749,https://i.ccdn.cz/acm/111/877606/l0.jpg,Solaria,,Itálie » Jižní Tyrolsko - Trentino » Skirama Dolomiti » Marilleva / Folgarida,Hotel,4.0,0,0,0
17759,,Burano,,Itálie » Adriatická riviéra » Bibione » Lido del Sole,Apartmány,3.0,0,0,0
17760,https://i.ccdn.cz/acm/482/859478/l0.jpg,Apartmány Castello,,Itálie » Adriatická riviéra » Bibione » Lido del Sole,Apartmány,3.0,0,0,0
17761,,No name apartmány Cattolica,,Itálie » Emilia Romagna » Cattolica,Apartmány,3.0,0,0,0
17767,,Elle,,Itálie » Adriatická riviéra » Lido di Jesolo,Apartmány,2.0,0,0,0
17772,https://i.ccdn.cz/acm/111/877673/l0.jpg,Apartmány Giardino,,Itálie » Adriatická riviéra » Lido di Jesolo,Apartmány,2.0,0,0,0
17780,,Apartmány Katja,,Itálie » Adriatická riviéra » Bibione,Apartmány,0.0,0,0,0
17782,,Apartmány Krk,,Chorvatsko » Kvarner » ostrov Krk,Apartmány,3.0,0,0,0
17784,https://i.ccdn.cz/acm/143/780059/l0.jpg,Garden Suites Park Plava Laguna,Laguna Park,Chorvatsko » Istrie » Poreč,Apartmány,4.0,0,0,0
17785,https://i.ccdn.cz/acm/157/880926/l0.jpg,Lara,,Itálie » Adriatická riviéra » Lido di Jesolo,Apartmány,3.0,0,0,0
17787,,Apartmány Le Ginestre,,Itálie » Sardinie » Cagliari » Costa Rei,Apartmány,3.0,0,0,0
17788,,No name Lido di Jesolo,,Itálie » Adriatická riviéra » Lido di Jesolo,Apartmány,,0,0,0
